Experiment_ID	Sample_ID
Pt_23	Pt_23
Pt_54	Pt_54
Pt_11	Pt_11
Pt_46	Pt_46
Pt_44	Pt_44
Pt_5	Pt_5
Pt_24	Pt_24
Pt_2	Pt_2
Pt_50	Pt_50
Pt_60	Pt_60
Pt_61	Pt_61
Pt_45	Pt_45
Pt_37	Pt_37
Pt_38	Pt_38
Pt_28	Pt_28
Pt_8	Pt_8
Pt_7	Pt_7
Pt_19	Pt_19
Pt_4	Pt_4
Pt_57	Pt_57
Pt_53	Pt_53
Pt_32	Pt_32
Pt_51	Pt_51
Pt_40	Pt_40
Pt_42	Pt_42
Pt_47	Pt_47
Pt_49	Pt_49
Pt_22	Pt_22
Pt_27	Pt_27
Pt_20	Pt_20
Pt_18	Pt_18
Pt_14	Pt_14
Pt_43	Pt_43
Pt_59	Pt_59
Pt_10	Pt_10
Pt_29	Pt_29
Pt_31	Pt_31
Pt_33	Pt_33
Pt_1	Pt_1
Pt_52	Pt_52
Pt_25	Pt_25
Pt_34	Pt_34
Pt_30	Pt_30
Pt_15	Pt_15
Pt_6	Pt_6
Pt_3	Pt_3
Pt_55	Pt_55
Pt_35	Pt_35
Pt_12	Pt_12
Pt_26	Pt_26
Pt_36	Pt_36
Pt_39	Pt_39
Pt_48	Pt_48
Pt_13	Pt_13
Pt_16	Pt_16
Pt_17	Pt_17
Pt_58	Pt_58
Pt_21	Pt_21
Pt_62	Pt_62
Pt_9	Pt_9
Pt_41	Pt_41
Pt_56	Pt_56
