Sample_ID	Pt_23	Pt_54	Pt_11	Pt_46	Pt_44	Pt_5	Pt_24	Pt_2	Pt_50	Pt_60	Pt_61	Pt_45	Pt_37	Pt_38	Pt_28	Pt_8	Pt_7	Pt_19	Pt_4	Pt_57	Pt_53	Pt_32	Pt_51	Pt_40	Pt_42	Pt_47	Pt_49	Pt_22	Pt_27	Pt_20	Pt_18	Pt_14	Pt_43	Pt_59	Pt_10	Pt_29	Pt_31	Pt_33	Pt_1	Pt_52	Pt_25	Pt_34	Pt_30	Pt_15	Pt_6	Pt_3	Pt_55	Pt_35	Pt_12	Pt_26	Pt_36	Pt_39	Pt_48	Pt_13	Pt_16	Pt_17	Pt_58	Pt_21	Pt_62	Pt_9	Pt_41	Pt_56
ABCB1	5.09780872830699	5.63347333240099	5.89913820653356	6.32537105618532	5.28502557044054	5.61179455523298	6.70936011715728	4.25449475091814	6.25793045030177	6.01351517552615	7.49256834409441	5.82398316360548	6.49487028739196	4.96273476378749	6.07449514541819	7.07502347639997	6.31827519659046	5.66079025708894	6.70029582574239	5.59655400496857	6.36263762197589	6.89182409531843	6.23860281776993	5.79182879797836	6.43868712445638	7.09482419111132	8.45073485560441	6.65944795185036	7.91218999394324	7.01566820908367	6.58025970334119	6.33614290937346	4.54851088352674	6.74723163914511	6.0277927463055	6.647597129127	6.3258628409348	5.72984220851009	5.93448553235145	5.83751102265025	7.84891351282891	6.51957822271166	6.4247711430338	5.59798794827575	5.44247608876447	5.05140173718055	7.13089842131547	6.55849055658713	6.9267184062937	7.34343052522031	6.44647800217472	8.69872927668042	6.33817213096947	6.43231327906615	6.12084457870994	5.43904040780071	6.58248293897559	7.29762918470767	8.75004244876614	5.9268943478321	11.6566868889543	7.36386870606874
ADA	6.84508565791784	6.9178371707793	6.86962271984769	8.0760127872785	6.5680578845812	6.92875333066346	7.77401207613897	6.76623099356975	6.79070793612056	7.35557141125369	7.30794269080848	7.65434155204317	6.74330570190626	7.06531270181806	7.56167065578059	7.73048344128932	6.62479438832303	7.19468593516701	7.13474789861607	6.93801350376792	7.53883196962039	7.18457875608391	7.32044542992843	7.31515493223444	7.16111833434185	6.96810012560624	7.68849596188347	7.46763405223378	7.11779720065812	7.25198123077032	7.48735730722852	6.95544116375273	8.52214657591697	7.50927357671897	7.08337888644937	7.19394058912969	7.60767739969815	6.79416582079933	7.05326864814804	7.68530021762692	8.33025905133341	8.08515780789149	7.83867303507584	8.05635960552216	8.390882973133	8.2812474242775	6.75583695088151	7.19959556166052	7.95682121519126	7.15806187331378	7.59673729185003	8.73911655905709	7.22794279039061	7.29656101633843	7.95357020165984	11.1783060885953	7.88825561007929	7.60121647348238	7.70848209569216	7.97588106595573	7.41124194988246	8.02520475662728
C1QBP	9.71599866536826	9.29755366966635	10.0534977017	9.40390703607224	10.4191731851409	8.86416258684965	8.77709441013344	9.84214634008782	8.31106642668586	9.79076658335968	8.81344719083106	9.773974276097	9.38950753699773	9.64395266673792	9.88907458665147	8.76948324953397	9.45293399893102	9.60296831334583	10.2248846556989	10.0162001446248	8.95429621468936	9.69056864302573	9.2554449116018	9.43700836642751	11.3703862056067	10.3297182780327	9.30920751383125	9.25854701655509	9.66003444302159	9.68776404711969	9.39308747238793	10.0089016171155	9.69028655583199	9.90166026399961	10.0212502500931	10.5896105531824	9.40331165506276	9.08858630115039	10.0847153541217	8.8411974877397	9.85959849531019	9.8146063691363	9.15149465699758	9.55366394961045	10.3448754278979	10.0217332520283	9.35203684764061	10.1963326120531	9.06589109762686	10.0300536833772	9.96011612821916	10.7357989286196	9.51726099797786	9.66089295884772	11.2475015772422	10.4554179474841	10.9894772006957	10.0818443626825	10.490218416257	10.7159062207559	10.4057484928726	10.0135962259038
CCR3	3.39710921087415	3.90423792450748	4.23917579274838	4.83004627420866	4.44900796647828	3.13336722009898	4.24444171431195	4.29910343894489	3.85340393631983	5.0471781362659	3.1865498537947	3.65954210221624	5.28323937445158	4.46288103859644	2.85436370492619	3.94130146115501	3.30483474425625	3.71184469115018	4.54057207011848	4.42994125911889	3.81864142196429	4.78005046407274	4.5241386506542	3.39742307292328	3.93878731964936	4.96060105005701	1.91327509788103	2.95390852202762	5.1249895977338	3.98888944503921	3.22441716321597	4.20125543204942	3.93673126618165	4.65918423292128	2.58508190282673	4.52011052216735	4.81816430272386	5.09403780705742	3.47858871359859	4.60252733446716	4.00596956877091	5.56156219082105	4.76550338981588	4.48715913908467	3.91712053059759	3.68511913815179	7.48777147509418	4.74059885756922	4.76710467760384	3.36334243151417	3.65607664541366	4.55361005465531	5.93494088775642	3.01634083505388	4.63461237807449	3.9356985869456	4.43411268280116	5.54653005690557	4.8076212484009	4.22736405423149	4.20319980832405	4.42471003869512
CCR6	5.14775075347667	5.10265861247298	5.61438955927748	5.32712717716556	5.73228024346269	5.75493270471151	4.97448154821625	4.91473674284348	5.2268549719792	5.05421915311569	5.16981669997727	5.24865031579096	5.69492862279685	5.48670685145024	4.74259800688389	5.49930152020024	4.42989018122726	4.92963154948444	4.45849848820321	4.55120828724059	5.04187715293801	4.7980262880823	5.1642142601634	4.48702346479841	5.16158176555283	5.486507456217	5.02673855198572	5.63950850533867	4.83675457473501	4.93687309607462	4.53042770278348	4.81228254340748	4.74305903029734	5.31436563576942	5.23015829404428	5.5125185259467	4.52663463826187	5.26997656426484	5.05194207061962	5.15728559120214	4.9562817779184	4.73997145171822	4.68628051421578	4.42849163969687	5.09637705103395	5.07751343109566	4.84369039370207	4.626879513162	4.87229337310895	5.27281535451888	5.18924718932427	5.54283824410972	5.06341924682519	4.82302327694285	5.62857976646946	4.21756047538615	4.62818688458655	4.89051096535736	4.93335936197472	4.02055402562098	4.64789138832242	3.78414699162945
CD36	6.65045312672089	8.27827079109913	8.47959403707465	8.03723532228566	7.95384931990396	8.82474310632567	9.24433312114812	8.64431392597309	8.82036174715661	6.75087702856217	8.00786532921073	7.46937525307023	9.22974076690298	9.35402926453057	9.80561874256736	9.25378539093459	7.854758405504	9.17355078712878	7.26861990258968	9.65025184006183	9.38898278599727	7.90239911432822	9.31716278835058	10.2774526283808	8.81049558418981	9.55610903800598	9.31579789389444	10.9721083204447	6.60710083234836	10.0882133003209	10.4358521189815	9.28986413076653	6.37566549902815	9.37543170662564	7.59071620347624	8.85804772164597	9.70579430059327	9.66932563974419	8.91284850731553	11.1243105296558	10.2008556667493	9.82285586336309	9.34135945768655	9.04208629772637	8.99227681238614	9.73381634254078	11.4640028244148	9.09300196998814	10.6649767939477	10.7974709659081	10.1835916873319	10.6747460612689	11.2247243681729	10.5081844797705	11.5009913552326	9.68530697205305	9.94144187244095	10.7205055082072	11.2870370375424	10.6715497960608	12.4217366847291	10.6173832625528
CD97	6.9346601472916	8.0355187098978	7.5328003668322	8.74188548214603	8.85217745822111	9.15673102922537	8.64728220648165	7.43535345368146	7.82804334985685	9.32907970847985	8.45166439114166	8.77814664253988	8.4209195184926	9.37072096699118	8.76764667852031	9.099295655285	9.15590924629549	7.9694817308673	8.7831865689726	7.23773979277435	8.88601528108802	7.42184511641962	9.01661057082715	9.32282198407571	9.41098823272952	7.97362072111999	9.04944343001881	9.2971102387141	8.39016754932716	7.95634374179908	8.27745949644833	8.99090175573076	7.76318734117211	9.03744429736525	9.40141773882018	8.45559957414499	9.4991215360524	9.90497397264931	9.3707453750445	9.98480319767117	9.00429905300232	9.47563580184061	8.70629958252337	8.82952206856114	9.0133345984824	10.200747024526	8.04147417785548	8.81860649231329	9.36272851634947	9.64452740890027	9.61187069635816	9.31138524633111	9.95089303853629	9.794853952822	9.2426651341322	9.04752779087736	8.24780372452141	10.1201556630643	8.93364228076424	9.61651641783676	10.9880155584319	9.72319238654365
CD99	12.9540773256803	12.3506000526627	12.805101359802	11.0453764638259	14.3015029294105	13.0731423226369	15.6725614272547	12.8106380467808	12.6317072309026	14.3525481823757	11.6164487097493	11.9161573045657	11.4043822862832	11.7525096391672	13.0399334943505	13.6712052298478	12.0008538695886	12.8510905652532	12.4380917974577	12.2648885394422	11.7785619681895	11.9657760347777	12.5215074998155	11.985502892102	13.2391534984059	12.7447184321705	12.090053151285	13.0266993660026	12.8176386025318	11.9363351250115	11.200734443844	12.0213606654502	12.5243518270107	11.0308571098715	11.9113353145258	10.8908004792708	12.5261449546257	11.8746852839476	11.3474613332804	12.6458432434443	12.431396925748	10.9188351354901	11.7479519361005	11.8606266097599	12.7607260204731	12.7222377856719	11.8060028845426	11.174827820285	12.1658368979409	12.272309991316	11.5002731431822	13.0048127599175	12.384755999988	12.9650291187898	12.1403920480913	11.2603696283127	12.2743828654414	11.2435037790877	11.0483595203224	11.646953363081	11.4347207409561	12.8150595963812
CHUK	8.05010961785006	8.30654255173211	8.4884030172187	9.05759635079088	8.406709408729	8.8436469733315	7.99848019634853	8.71259341350577	8.64492863918156	8.81434017406766	8.63951097031062	8.87825360785569	8.84516200556411	8.38314911090418	8.27701286314779	8.03824153636333	8.77824916066212	8.3321537843868	7.78902087954196	9.50076141993404	8.29460485011	8.29416238171945	7.9661839917031	8.23970255095454	9.06584981785824	8.87602576021115	8.245053465457	8.64564888860026	8.90298743255423	8.52821782984647	8.3458707248971	8.87915069871131	9.36299067853648	8.32680888867421	9.31857767565115	9.52679786930118	8.59685038179376	8.80651152382116	8.62055821273395	8.26241480049287	8.17410744269596	8.64754003517441	8.01850003665267	8.45152391996423	8.40701796671402	9.06792869908472	8.38631900041358	9.4507419059901	8.7061621830056	8.50480193563222	8.83552994074737	8.64792394981184	8.48181888361543	8.77271032680658	9.41389007742369	9.62415409204906	10.1565481004671	8.94808060860963	8.79804760492362	9.55338794201537	9.63955833562059	9.10897966260628
ETS1	9.44513684746893	9.71124533662733	9.41158128007252	8.99977753794704	8.65814239920091	9.58767709382487	9.66831374914416	10.878886988625	9.94327039484462	9.14565227957221	10.306198819494	9.90660537692039	9.10262300522632	9.40894261594504	9.7155457515852	9.68963121949545	10.1735473664021	10.3562433435356	9.9408791624689	9.6252566956769	9.13533136660785	9.86811317471025	9.11324533963206	9.95726834537452	9.03197449352684	9.47171837289714	9.66628258633495	10.1634705684506	8.95458121868446	9.35367726550204	10.1061071273663	9.81577345988799	9.8302907316724	9.27388382136471	10.4152393603736	9.66067665571695	9.66017180240332	9.93406312065047	9.70878539031516	10.4779301620571	10.4258669066925	9.26354970008075	10.0754282855225	10.7903031118386	10.7973160635084	10.4772037521789	9.53893945582219	10.1980769894522	10.179639894994	10.4049967039501	10.5658698752112	10.2761011893611	9.63922585502434	10.8474150440867	9.68942375106234	10.2996611209033	10.6218902520415	9.76089084464038	9.98436713055848	10.2009515578419	10.3343892105663	10.8435063119439
