Gene_ID	Pt_1	Pt_2	Pt_3	Pt_4	Pt_5	Pt_6	Pt_7	Pt_8	Pt_9	Pt_10	Pt_11	Pt_12	Pt_13	Pt_14	Pt_15	Pt_16	Pt_17	Pt_18	Pt_19	Pt_20	Pt_21	Pt_22	Pt_23	Pt_24	Pt_25	Pt_26	Pt_27	Pt_28	Pt_29	Pt_30	Pt_31	Pt_32	Pt_33	Pt_34	Pt_35	Pt_36	Pt_37	Pt_38	Pt_39	Pt_40	Pt_41	Pt_42	Pt_43	Pt_44	Pt_45	Pt_46	Pt_47	Pt_48	Pt_49	Pt_50	Pt_51	Pt_52	Pt_53	Pt_54	Pt_55	Pt_56	Pt_57	Pt_58	Pt_59	Pt_60	Pt_61	Pt_62
A2M	10.7558265017748	13.1936079056457	10.9670266171245	10.1964269709012	11.9514399316988	11.4749797669687	12.1021608537249	10.6411883013981	11.2231267867388	12.735895814255	10.7691060842983	11.0166473763208	13.042328538149	11.2003902129203	10.7614919470587	11.902518524476	10.1352197761377	11.9703882977918	11.5036059404076	11.3934410170562	9.91810712125258	11.6813422622033	10.3786493987633	10.6858127956929	10.8997326627195	12.2455075789463	10.4883576634187	11.7501121321155	11.6796947643911	10.5379602934174	10.4203956654539	10.506648303566	9.8491639062445	10.091857997011	11.7692226331174	12.010818187543	13.2542585915239	13.0892874074897	13.1500311187127	10.6029849488715	10.7792412878064	10.5247589005512	9.6218777290295	12.7328806805547	12.2576073717632	11.3131440719725	11.8158990648974	12.1776254499728	12.5361433117894	10.73297365019	11.1242040795743	11.8513235575755	10.256274872075	11.7724705997462	11.6233657160561	11.4958733616869	11.6965666870091	11.5924737104119	11.1557100684774	10.5944194529227	11.0020146798555	11.7430004929573
ABCB1	5.93448553235145	4.25449475091814	5.05140173718055	6.70029582574239	5.61179455523298	5.44247608876447	6.31827519659046	7.07502347639997	5.9268943478321	6.0277927463055	5.89913820653356	6.9267184062937	6.43231327906615	6.33614290937346	5.59798794827575	6.12084457870994	5.43904040780071	6.58025970334119	5.66079025708894	7.01566820908367	7.29762918470767	6.65944795185036	5.09780872830699	6.70936011715728	7.84891351282891	7.34343052522031	7.91218999394324	6.07449514541819	6.647597129127	6.4247711430338	6.3258628409348	6.89182409531843	5.72984220851009	6.51957822271166	6.55849055658713	6.44647800217472	6.49487028739196	4.96273476378749	8.69872927668042	5.79182879797836	11.6566868889543	6.43868712445638	4.54851088352674	5.28502557044054	5.82398316360548	6.32537105618532	7.09482419111132	6.33817213096947	8.45073485560441	6.25793045030177	6.23860281776993	5.83751102265025	6.36263762197589	5.63347333240099	7.13089842131547	7.36386870606874	5.59655400496857	6.58248293897559	6.74723163914511	6.01351517552615	7.49256834409441	8.75004244876614
ABCF1	8.15984525511565	8.53097935949908	8.53569369598104	9.08524100119971	8.51713769106301	8.97853658617907	8.62262250161215	8.85355674941022	8.83653833263309	8.79632435315001	8.98106810142238	8.24781171322054	8.79048287824735	9.32380485502561	8.7545119061604	8.62302588224656	9.03184811430032	8.80046983820916	9.20111078734947	8.8348729041467	8.18748586831411	8.55933814317247	8.91008813030648	9.15155974435968	8.52852679818023	8.58243741152406	8.91328799823962	8.21507901139433	9.30826686162441	8.89775763956075	8.29098434330802	8.99519745471	8.58566455404998	8.54461452924337	8.92807983596947	8.23684667975707	8.74536365391813	7.96919437891805	8.71883205065804	9.42760292184227	9.60060811699062	8.644268750261	8.57557087722367	8.14428980929519	9.09573293770959	8.28243687287675	8.65010923659536	9.76511567817135	8.73244628421655	9.74786092854477	7.56483327271303	8.6440623966412	8.44847341592036	8.92541995021885	8.52015381002021	8.3968298612497	9.20484013159445	9.01652510271882	9.43338718143281	8.52970365415234	8.88047505817321	9.09777382567916
ABL1	9.64929273001281	10.3070191117761	8.89852396658489	10.0639219758967	9.47091189462403	9.69355300853655	9.18350113542518	9.15792611540622	9.29331699306533	10.0666036814947	9.562382774363	8.73961564862947	9.84571854959622	9.48736477175057	9.69282724666789	8.88826696787375	9.28734854608243	9.17506497791668	9.45594769905004	9.1132418204528	8.59699013695211	9.7862347696215	9.59039305371407	8.72203770738134	9.14417804451637	8.86220427152192	8.99198206456531	9.47176113986972	9.23025692071148	9.01880314103447	8.91563968635322	8.88129823174371	9.45293850938467	9.32709026612141	9.24158338636789	9.10595167899998	8.78855314241421	7.73780386840958	9.02739297960197	8.84882682804691	9.3238553288697	9.12857249460236	9.75423507439881	9.35969877725856	9.09067372377962	7.55104114431084	8.33866341693407	8.51264216965676	9.83089407495724	9.23599809261274	9.26599762010211	9.5780186555181	8.61178398565924	9.87589939500501	8.44849958622466	9.12363271747219	9.50866439752963	9.53902132574705	9.38545082848921	10.1220479796818	8.92130345076421	9.2135437644265
ADA	7.05326864814804	6.76623099356975	8.2812474242775	7.13474789861607	6.92875333066346	8.390882973133	6.62479438832303	7.73048344128932	7.97588106595573	7.08337888644937	6.86962271984769	7.95682121519126	7.29656101633843	6.95544116375273	8.05635960552216	7.95357020165984	11.1783060885953	7.48735730722852	7.19468593516701	7.25198123077032	7.60121647348238	7.46763405223378	6.84508565791784	7.77401207613897	8.33025905133341	7.15806187331378	7.11779720065812	7.56167065578059	7.19394058912969	7.83867303507584	7.60767739969815	7.18457875608391	6.79416582079933	8.08515780789149	7.19959556166052	7.59673729185003	6.74330570190626	7.06531270181806	8.73911655905709	7.31515493223444	7.41124194988246	7.16111833434185	8.52214657591697	6.5680578845812	7.65434155204317	8.0760127872785	6.96810012560624	7.22794279039061	7.68849596188347	6.79070793612056	7.32044542992843	7.68530021762692	7.53883196962039	6.9178371707793	6.75583695088151	8.02520475662728	6.93801350376792	7.88825561007929	7.50927357671897	7.35557141125369	7.30794269080848	7.70848209569216
ADORA2A	5.39470457364198	6.10112382283443	6.54223097725627	5.70386973031724	6.2499000010544	6.53023997375303	6.29124312370949	6.42648986677842	5.62703824679668	6.32938179898884	6.33629511973394	6.41218622750781	7.04845889054881	6.25945752583719	6.11627140897379	6.3537041467831	8.17924043411171	5.85602747829469	5.99886448324625	6.24786950101425	6.00842659919886	5.89553919157412	6.53022558097039	6.75855445245723	6.14931351071513	5.99809182062654	6.62606969851472	6.59690915572978	6.54773816425529	5.79360505208478	6.49395080401675	6.55617161248446	6.26767742661882	6.00696674298405	6.73725672319858	6.61100640374102	6.22848923876609	5.47742435987511	6.45379576871826	5.80908204195069	7.52526730027711	7.26817380426362	7.03580648127035	5.41963035453659	6.64856237688171	7.21258056163024	7.04822884913745	6.15583782066087	6.53134853962568	6.79623812153783	6.23954529531448	6.49124486456645	6.72599881207894	6.16635087895212	6.30285023998986	7.22427666386354	6.4961007237995	6.35634041665543	6.76330633121052	7.35839895572798	6.55835051420163	6.70399054702905
AGK	7.90183708003554	8.43789561180574	7.5807481116108	8.01342296251529	7.42325893497768	8.21214238184109	6.362498254353	7.25399831332242	6.97813257988562	7.46295842438658	7.03941021291579	7.08265259266721	7.92797860163468	7.44002866795314	7.7743195932622	7.37019843478732	7.71050148584513	8.22445591824011	7.76181178389627	7.81578632383812	6.90079746458082	7.13664396977917	8.20938554193839	7.26974685888074	6.88166746639865	6.71705694094709	7.02192749255861	6.87957376334242	7.32253264855549	7.62759284912952	6.40947775007998	7.5941375503902	7.03787819681854	8.04651055978406	7.61283113102712	7.27098567804987	6.33662692857042	6.0612672587329	7.94260120895878	7.79349283330515	7.68272905621607	7.61121926032959	7.28044161981335	7.64081572318591	6.74199795850113	6.40730538156465	7.41257160632493	7.25261537590495	7.75374780008144	7.10933654896585	7.65764060265309	7.48172777153812	6.43804343066953	6.19733628248088	6.95584310521658	8.06549001789197	7.92124413058048	8.13760337404693	7.77120471398787	7.88528613646168	6.48908465848868	7.58837428351704
AICDA	3.26880260072435	3.95041152551416	3.8055562204811	3.2519819627099	4.2232528932103	3.9921668838184	3.75218696415438	3.90048566954784	3.17488427205252	3.86468762938034	3.6933880235576	3.42274342958549	3.79352739339265	2.7894552128781	2.73530370470377	3.01672022086626	3.19858606846018	3.05507079769528	3.35892527960211	3.20646436183959	2.81861087232714	3.39683224616766	4.0183898781427	3.92595437265444	3.0971271575653	3.98361773858307	3.20224796799054	4.40492305343623	3.75943351122989	4.02843762345576	4.39532476920863	2.99581188832298	3.26751099195558	2.94646708563056	2.89221954928484	2.17630794869903	4.12243803179465	4.58909292795018	3.68220558151356	3.28833474917058	3.81936648565692	3.21407548999571	4.04519546768721	4.93083146813368	4.18895784116461	5.06118176431493	3.18885368877255	3.75384660825657	3.59692019507767	3.47259737642175	3.3591131401663	3.43508194440427	3.40325848876241	4.05666939759027	4.45022808624912	3.47946101013723	3.36617057519271	3.80055213138429	4.12436943966871	3.48147491740306	3.499416184323	4.00931235345056
AIRE	4.97892379711533	5.07498325462801	6.02589396376635	4.64262146559	5.31553525605023	4.51046802634359	4.62226514649517	5.24450211425711	4.54958963448797	4.96033575015394	5.31240969876371	5.19432544391047	5.70553032304827	5.02661870998868	4.96750481274892	5.02963394313732	4.21675520477267	4.2102527092952	4.92760591797782	5.21777805634078	5.14033606207353	5.14264779597381	4.6507623510107	5.77237219010008	4.67448780601964	4.90729716989498	5.53242857930828	5.61688796006104	5.41356043896186	5.30029264919574	5.94270269463167	5.89496099378396	6.213673935417	5.23397428579448	5.14883379936568	5.51586178268042	5.88555748250136	6.29233561612858	4.91431842845967	6.0020690213694	5.60056812519256	5.41064807126296	4.82524191527246	6.68142475599215	4.92382029646297	5.71812148323565	5.73214379352689	5.09929935552501	6.2490166985701	5.89870360019513	4.88777771762919	8.7957867795733	4.76980292941753	7.29281656681643	5.16759510490149	4.71672750739467	4.44363427174524	4.99992339508695	5.91760068829962	5.4760412246974	5.15108749416611	4.89989782180133
AKT3	9.61953617941019	10.0308795031	8.95645660308718	11.881140895128	9.89532139027582	9.9746171794597	10.0221585177109	9.73445118513817	8.8035266094526	10.9336107471154	8.97876250183406	8.96906205040235	10.3832649691437	9.31940283890128	8.69360225543708	7.82436418478551	10.2233204742285	7.29596899476579	9.99381986611013	9.83702624501326	8.09086752505381	9.59817072651679	8.26791417964827	9.89361817087644	9.876145023367	9.0004893515096	10.1349894930876	9.56543942556809	9.48591953274972	8.71945168193679	9.69908900834999	9.20121243038173	8.14729066811007	9.61978763881296	9.82886182238141	9.61021100755939	9.07397111896327	8.44206814917472	8.90097029890274	8.84209706217111	8.63770076878432	9.39210258727196	11.9986872556738	8.67763537189308	10.1574524983783	10.2920639280666	10.3718556246527	9.68729288783285	9.60310908832965	9.47943887276822	9.07850347122836	9.78389298150929	9.981046263274	9.55028476023734	10.3662751199318	8.77134065361377	7.81437813018702	9.00349315023686	8.94790878076809	10.5864680303968	9.24376128503604	9.19609555647467
