gene	TARGET_40_PASUUH_01A	TARGET_40_PAUTWB_01A	TARGET_40_PAPWWC_01A	TARGET_40_PAUUML_01A	TARGET_40_PAMHLF_01A	TARGET_40_PAUBIT_01A	TARGET_40_PASFCV_01A	TARGET_40_PAKXLD_01A	TARGET_40_0A4I4O_01A	TARGET_40_PASEFS_01A	TARGET_40_PARKAF_01A	TARGET_40_PAMHYN_01A	TARGET_40_PASEBY_01A	TARGET_40_PAKFVX_01A	TARGET_40_PASNZV_01A	TARGET_40_0A4I4M_01A	TARGET_40_0A4I42_01A	TARGET_40_PALECC_01A	TARGET_40_PANSEN_01A	TARGET_40_PALKDP_01A	TARGET_40_0A4I65_01A	TARGET_40_0A4I6O_01A	TARGET_40_PALFYN_01A	TARGET_40_PATPBS_01A	TARGET_40_PAPXGT_01A	TARGET_40_0A4HLD_01A	TARGET_40_PAUYTT_01A	TARGET_40_0A4I0W_01A	TARGET_40_PARFTG_01A	TARGET_40_0A4HX8_01A	TARGET_40_PATKSS_01A	TARGET_40_PASYUK_01A	TARGET_40_PAPNVD_01A	TARGET_40_PATMPU_01A	TARGET_40_PAPIJR_01A	TARGET_40_PAVDTY_01A	TARGET_40_PANGPE_01A	TARGET_40_PAMJXS_01A	TARGET_40_PAKZZK_01A	TARGET_40_PASKZZ_01A	TARGET_40_0A4HXS_01A	TARGET_40_PATEEM_01A	TARGET_40_PAVECB_01A	TARGET_40_PALKGN_01A	TARGET_40_PASRNE_01A	TARGET_40_PARGTM_01A	TARGET_40_PANGRW_01A	TARGET_40_PAVCLP_01A	TARGET_40_PAPKWD_01A	TARGET_40_PATAWV_01A	TARGET_40_PANXSC_01A	TARGET_40_0A4HMC_01A	TARGET_40_PALZGU_01A	TARGET_40_PANZZJ_01A	TARGET_40_PATMIF_01A	TARGET_40_PAUTYB_01A	TARGET_40_PAMTCM_01A	TARGET_40_PAVALD_01A	TARGET_40_0A4I8U_01A	TARGET_40_0A4I3S_01A	TARGET_40_PANVJJ_01A	TARGET_40_0A4I5B_01A
ABCB1	6.4093909361377	8.26209484537018	8.63662462054365	3.58496250072116	5.39231742277876	4.24792751344359	6.8073549220576	7.98299357469431	4	9.07146236255662	9.5372184005386	7	7.13955135239879	4.70043971814109	6.68650052718322	7.4262647547021	7.12928301694497	4.16992500144231	4.52356195605701	10.2057932493972	8.72109918870719	5.97727992349992	5.28540221886225	6.55458885167764	7.72109918870719	7.10852445677817	6	4.16992500144231	5.75488750216347	7.83920378809694	3.90689059560852	7.09803208296053	6.84549005094438	8.3037807481771	5.16992500144231	3.70043971814109	4.95419631038688	7.4093909361377	9.08480838780436	4.08746284125034	5.8073549220576	9.90989308377004	4.4594316186373	5.12928301694497	4.52356195605701	4.58496250072116	8.91587937883577	5.75488750216347	3.70043971814109	4.4594316186373	7.08746284125034	8.2045711442492	5.85798099512757	5.55458885167764	7.17990909001493	4.58496250072116	5.39231742277876	1	8.38801728534514	9.20212382383046	5.12928301694497	9.32418054661874
ADA	9.87805091272854	9.38370429247405	10.4439795426013	8.5077946401987	8.01680828768656	9.36850646150769	9.26912667914942	7.4093909361377	8.45121111183233	9.36194377373524	8.13955135239879	9.63843591399047	9.13185696060879	9.51569983828404	9.08480838780436	9.43879185257826	9.868822554775	9.87498134765377	8.00562454919388	8.13442632022093	10.4848228942621	7.25738784269265	9.31741261376487	10.2514824106202	11.1885888457073	6.33985000288462	7.59245703726808	9.23840473932508	8.10328780841202	9.22641219278879	9.23122118071119	8.59618975614441	7.80089989992031	8.51569983828404	9.467605550083	8.2336196767597	9.07414146275251	9.62935662007961	8.56605403817109	7.2667865406949	9.56224242422107	9.44914864537544	7.5077946401987	9.06608919045777	8.99717948093762	9.71424551766612	8.84862294042934	9.69522829149575	9.54303182025524	9.33539035469392	9.77807712953536	11.0867996856235	9.80896417491926	8.13442632022093	10.429406741514	10.3674147512468	9.54496443278924	9.36413465500805	10.6008421143873	9.54109661534952	8.80413102118332	10.6960981709559
C1QBPP	0	0	0	0	0	0	0	0	2.32192809488736	0	0	0	0	1.58496250072116	1	0	1.58496250072116	0	0	2	0	0	0	0	1	5.04439411935845	0	0	1	0	0	0	1	1.58496250072116	0	0	0	0	0	1	0	0	0	0	0	1.58496250072116	0	0	0	0	1	1	0	1.58496250072116	0	0	0	0	0	0	0	0
CCR3	1	1.58496250072116	4.52356195605701	0	2	3.8073549220576	3.4594316186373	1	1.58496250072116	0	0	1.58496250072116	2	2.58496250072116	0	3.16992500144231	3	2.58496250072116	1	0	1	2.32192809488736	1.58496250072116	2.58496250072116	2.8073549220576	1.58496250072116	0	0	0	1	2	2	4.08746284125034	1.58496250072116	2.32192809488736	0	1	2	2.32192809488736	2.58496250072116	3	2.58496250072116	0	0	1.58496250072116	1	3	0	2.32192809488736	1	2	3.16992500144231	0	0	0	2.32192809488736	0	1.58496250072116	1.58496250072116	3.16992500144231	0	2.58496250072116
CCR6	0	0	0	0	1.58496250072116	0	1.58496250072116	0	0	1.58496250072116	0	0	0	0	0	0	1	0	0	1	0	0	0	1.58496250072116	2	3.32192809488736	0	0	1	1.58496250072116	1.58496250072116	2.8073549220576	3.32192809488736	2	2	1	0	2	0	1.58496250072116	0	2	0	1	1.58496250072116	0	0	1.58496250072116	1.58496250072116	0	3	2	0	0	1.58496250072116	0	1.58496250072116	0	0	2.58496250072116	2	1.58496250072116
CD36	9.76487159073609	11.0734721539765	11.9498267107591	9.44086916761087	11.6755160440828	7.91886323727459	7.66533591718518	10.9822806045583	10.6064052126978	11.120237877342	10.7439928610602	13.2961992685149	11.1649069266757	12.1456137755134	13.3949985145017	10.6995724532873	13.0525680508042	11.1554507313121	11.1208858427878	13.7967494219023	13.0578225412825	9.09803208296053	6.6582114827518	13.0334230015375	11.9549232920303	7.59245703726808	11.3509391815464	7.63662462054365	12.4865836590673	10.2070143201775	10.8392037880969	11.4640351521899	9.68123841177781	13.7388311559444	8.90689059560852	10.1724275086455	11.0539258815311	12.1570310743784	12.6295843001939	10.1176431013891	12.626393504174	13.4046093978377	5.97727992349992	7.54689445988764	11.9203528554151	11.12153351734	11.4858293087019	9.33539035469392	13.0133226734254	8.00562454919388	9.60177078840771	11.2057932493972	12.8793917964852	10.4948555844912	11.7536346188534	12.1721149325331	10.7944158663501	11.6715410667119	13.4587910756081	12.1205618964429	9.23840473932508	12.4630134134497
CD97	11.2467405984931	11.4913520735634	12.2419831496943	9.5077946401987	11.4594316186373	12.4916026066961	11.3202364452417	11.7287708495427	10.8917837032183	10.0887882387169	11.2538474849874	10.3826240265749	11.5328429109613	12.9095181142966	12.4346282276367	12.5658161071009	10.8703647195834	12.0059753565004	11.8560363998192	9.51175265376738	13.1573469353628	12.2629757012279	10.90989308377	13.1842554954053	12.2538474849874	9.61838550225861	9.35093918154643	11.6532929453828	11.9531051505913	10.5468944598876	11.0734721539765	11.427312844135	9.97871045910636	11.3077700318907	11.4553272203046	9.9901039638575	12.0620461377205	12.5338163894334	12.9518310868883	10.1059085085712	12.1195896207411	11.6510516911789	9.28540221886225	11.7189609119842	11.4903495057393	10.4051414631363	11.2644426002266	12.3655022681931	12.2149261879424	8.04984854945056	10.7047682393626	12.4120405145517	12.7671499122849	10.007027266894	12.3216462909914	12.1475229443507	13.7538435083116	11.8622499008515	12.5058115539196	13.0159376733092	9.38801728534514	11.7817695118631
CD99	14.5661135148079	14.0576533399639	14.9837507195969	12.9978851278291	15.2039979258955	14.0660050756549	14.5561467731258	12.199058823653	14.9693865213423	12.1888978732422	11.9697462508145	12.7776662808808	14.3935245306787	14.4507601991733	13.7795141791435	13.6488069497258	13.2129522850369	14.7434144052595	14.2772874001304	13.0513788996875	15.0437108633472	14.0734721539765	13.4391815770525	15.6273343829803	15.8801574566018	12.728345714711	14.5469547316501	15.2951949558807	13.5930409115894	12.5767205250802	14.6508273741388	13.8360503550581	10.9410476063406	13.9218409370745	14.4212101474091	12.9158793788358	15.4820831506053	15.0923029243513	13.9513757913245	14.1373914492476	15.1090552421506	15.3331204008795	14.6889605522896	14.3008530120435	14.0535865436392	13.5571046584899	16.1354086933247	13.920073669146	13.4124375319483	13.7579108191051	15.1448573643373	14.4761133041527	14.66439172683	14.4227218209006	15.0903605683403	14.4337810210384	14.2389271439702	14.0977852504228	15.5386133343705	15.4577014993465	14.8949598284349	13.9907244588003
CHUK	8.77807712953536	8.97154355395077	10.2131042196419	7.91288933622996	9.319672120947	9.80574387215162	9.38586240064146	8.17492568250068	9.40726776424473	9.8811139606751	8.57742882803575	9.18487534290828	8.81698362325538	10.3208005488816	10.240791332162	9.87805091272854	9.5352753766208	9.51963625284321	9.45738087907253	11.0292872269682	9.97871045910636	9.63662462054365	7.62205181945638	10.4367115421372	9.80574387215162	8.51175265376738	8.10852445677817	9.65999589242998	9.4757334309664	9.14210705730255	9.67771964164101	9.39874369193819	8.22881869049588	10.9765641234153	9.48784003382305	10.120237877342	9.85018683764577	9.68999797141945	9.11374216604919	8.21916852046216	9.68299458368168	11.9647018574204	9.34429590791582	8.70043971814109	9.7797193551434	9.1006623390052	9.81057163474115	9.58120058192496	9.91288933622996	9.21431912080077	9.40087943628218	10.1761731491075	10.523561956057	8.83289001416474	10.9971794809376	8.58120058192496	10.9901039638575	9.79766152585376	10.7573900093666	11.4019461239765	8.98584193700334	10.2300204357056
ETS1	11.6555307231556	12.8521393281872	13.2676645375011	12.9845964704049	12.2799007158028	12.726643921484	12.7247270015344	10.9505558970475	11.8149829364268	12.4496645384762	12.694793155	12.9072662485311	12.8153832958135	11.8780509127285	12.7858611057596	12.7544699952756	12.5038257379958	13.1506992887445	12.2206806210522	14.078734574053	12.7281331003062	13.7457793503947	11.1922928144708	13.8134805984373	13.5014640258605	11.0230612497353	12.0606959316876	13.2068617428371	12.4096561130599	11.9395792143147	10.7004397181411	12.9645213738972	11.2632692003727	13.0689461796488	12.4517262680745	10.9722618487333	12.6655579898464	12.8372337003391	13.1982915550922	12.6345841934937	12.0758133774615	14.7261116991587	12.6976191990787	11.0667619323869	12.9521952199141	11.6917435191713	12.9448950396779	12.7745811808936	10.8757493514201	12.7925869689479	12.8107724413447	12.7504976420991	13.6142497276894	11.539158811108	13.88378880326	12.4346282276367	13.5502658068687	10.6608872703026	13.7742723077347	13.173364830849	12.7584314409003	13.5646258627954
