Gene_ID	Pt_2	Pt_11	Pt_12	Pt_15	Pt_18	Pt_22	Pt_23	Pt_25	Pt_26	Pt_27	Pt_28	Pt_29	Pt_33	Pt_36	Pt_38	Pt_39	Pt_41	Pt_42	Pt_43	Pt_46	Pt_47	Pt_48	Pt_50	Pt_51	Pt_52	Pt_53	Pt_54	Pt_55	Pt_57	Pt_58	Pt_59	Pt_61	Pt_62
A2M	13.1936079056457	10.7691060842983	11.0166473763208	10.7614919470587	11.9703882977918	11.6813422622033	10.3786493987633	10.8997326627195	12.2455075789463	10.4883576634187	11.7501121321155	11.6796947643911	9.8491639062445	12.010818187543	13.0892874074897	13.1500311187127	10.7792412878064	10.5247589005512	9.6218777290295	11.3131440719725	11.8158990648974	12.1776254499728	10.73297365019	11.1242040795743	11.8513235575755	10.256274872075	11.7724705997462	11.6233657160561	11.6965666870091	11.5924737104119	11.1557100684774	11.0020146798555	11.7430004929573
ABCB1	4.25449475091814	5.89913820653356	6.9267184062937	5.59798794827575	6.58025970334119	6.65944795185036	5.09780872830699	7.84891351282891	7.34343052522031	7.91218999394324	6.07449514541819	6.647597129127	5.72984220851009	6.44647800217472	4.96273476378749	8.69872927668042	11.6566868889543	6.43868712445638	4.54851088352674	6.32537105618532	7.09482419111132	6.33817213096947	6.25793045030177	6.23860281776993	5.83751102265025	6.36263762197589	5.63347333240099	7.13089842131547	5.59655400496857	6.58248293897559	6.74723163914511	7.49256834409441	8.75004244876614
ABCF1	8.53097935949908	8.98106810142238	8.24781171322054	8.7545119061604	8.80046983820916	8.55933814317247	8.91008813030648	8.52852679818023	8.58243741152406	8.91328799823962	8.21507901139433	9.30826686162441	8.58566455404998	8.23684667975707	7.96919437891805	8.71883205065804	9.60060811699062	8.644268750261	8.57557087722367	8.28243687287675	8.65010923659536	9.76511567817135	9.74786092854477	7.56483327271303	8.6440623966412	8.44847341592036	8.92541995021885	8.52015381002021	9.20484013159445	9.01652510271882	9.43338718143281	8.88047505817321	9.09777382567916
ABL1	10.3070191117761	9.562382774363	8.73961564862947	9.69282724666789	9.17506497791668	9.7862347696215	9.59039305371407	9.14417804451637	8.86220427152192	8.99198206456531	9.47176113986972	9.23025692071148	9.45293850938467	9.10595167899998	7.73780386840958	9.02739297960197	9.3238553288697	9.12857249460236	9.75423507439881	7.55104114431084	8.33866341693407	8.51264216965676	9.23599809261274	9.26599762010211	9.5780186555181	8.61178398565924	9.87589939500501	8.44849958622466	9.50866439752963	9.53902132574705	9.38545082848921	8.92130345076421	9.2135437644265
ADA	6.76623099356975	6.86962271984769	7.95682121519126	8.05635960552216	7.48735730722852	7.46763405223378	6.84508565791784	8.33025905133341	7.15806187331378	7.11779720065812	7.56167065578059	7.19394058912969	6.79416582079933	7.59673729185003	7.06531270181806	8.73911655905709	7.41124194988246	7.16111833434185	8.52214657591697	8.0760127872785	6.96810012560624	7.22794279039061	6.79070793612056	7.32044542992843	7.68530021762692	7.53883196962039	6.9178371707793	6.75583695088151	6.93801350376792	7.88825561007929	7.50927357671897	7.30794269080848	7.70848209569216
ADORA2A	6.10112382283443	6.33629511973394	6.41218622750781	6.11627140897379	5.85602747829469	5.89553919157412	6.53022558097039	6.14931351071513	5.99809182062654	6.62606969851472	6.59690915572978	6.54773816425529	6.26767742661882	6.61100640374102	5.47742435987511	6.45379576871826	7.52526730027711	7.26817380426362	7.03580648127035	7.21258056163024	7.04822884913745	6.15583782066087	6.79623812153783	6.23954529531448	6.49124486456645	6.72599881207894	6.16635087895212	6.30285023998986	6.4961007237995	6.35634041665543	6.76330633121052	6.55835051420163	6.70399054702905
AGK	8.43789561180574	7.03941021291579	7.08265259266721	7.7743195932622	8.22445591824011	7.13664396977917	8.20938554193839	6.88166746639865	6.71705694094709	7.02192749255861	6.87957376334242	7.32253264855549	7.03787819681854	7.27098567804987	6.0612672587329	7.94260120895878	7.68272905621607	7.61121926032959	7.28044161981335	6.40730538156465	7.41257160632493	7.25261537590495	7.10933654896585	7.65764060265309	7.48172777153812	6.43804343066953	6.19733628248088	6.95584310521658	7.92124413058048	8.13760337404693	7.77120471398787	6.48908465848868	7.58837428351704
AICDA	3.95041152551416	3.6933880235576	3.42274342958549	2.73530370470377	3.05507079769528	3.39683224616766	4.0183898781427	3.0971271575653	3.98361773858307	3.20224796799054	4.40492305343623	3.75943351122989	3.26751099195558	2.17630794869903	4.58909292795018	3.68220558151356	3.81936648565692	3.21407548999571	4.04519546768721	5.06118176431493	3.18885368877255	3.75384660825657	3.47259737642175	3.3591131401663	3.43508194440427	3.40325848876241	4.05666939759027	4.45022808624912	3.36617057519271	3.80055213138429	4.12436943966871	3.499416184323	4.00931235345056
AIRE	5.07498325462801	5.31240969876371	5.19432544391047	4.96750481274892	4.2102527092952	5.14264779597381	4.6507623510107	4.67448780601964	4.90729716989498	5.53242857930828	5.61688796006104	5.41356043896186	6.213673935417	5.51586178268042	6.29233561612858	4.91431842845967	5.60056812519256	5.41064807126296	4.82524191527246	5.71812148323565	5.73214379352689	5.09929935552501	5.89870360019513	4.88777771762919	8.7957867795733	4.76980292941753	7.29281656681643	5.16759510490149	4.44363427174524	4.99992339508695	5.91760068829962	5.15108749416611	4.89989782180133
AKT3	10.0308795031	8.97876250183406	8.96906205040235	8.69360225543708	7.29596899476579	9.59817072651679	8.26791417964827	9.876145023367	9.0004893515096	10.1349894930876	9.56543942556809	9.48591953274972	8.14729066811007	9.61021100755939	8.44206814917472	8.90097029890274	8.63770076878432	9.39210258727196	11.9986872556738	10.2920639280666	10.3718556246527	9.68729288783285	9.47943887276822	9.07850347122836	9.78389298150929	9.981046263274	9.55028476023734	10.3662751199318	7.81437813018702	9.00349315023686	8.94790878076809	9.24376128503604	9.19609555647467
